clone,build,package,packagetests,symbols,clobber,total
80,2391,23,14,726,48,3282
95,2390,22,15,710,48,3280
94,2391,22,13,716,48,3284
93,2395,22,14,709,49,3282
96,2406,23,12,712,48,3297
96,2367,21,14,710,49,3257
95,2361,22,13,709,49,3249
96,2365,22,14,706,49,3252
96,2384,23,13,708,49,3273
95,2390,23,14,704,49,3275
95,2391,22,15,708,49,3280
95,2388,23,14,721,48,3289
95,2388,22,15,711,49,3280
94,2390,23,14,712,48,3281
93,2390,22,15,705,49,3274
97,2403,24,12,712,49,3297
95,2403,22,15,706,49,3290
96,2391,22,13,708,49,3279
97,2393,22,14,705,49,3280
96,2394,24,14,703,49,3280
95,2392,23,14,703,49,3276
