clone,build,package,packagetests,symbols,clobber
104,2883,28,15,617,140
169,2937,27,15,617,188
168,2932,28,14,620,189
174,2962,29,14,622,191
181,2951,27,16,624,201
189,2947,28,16,626,197
167,2943,29,14,626,189
177,2905,28,13,637,190
174,2884,26,12,657,193
182,2887,29,13,609,201
175,2899,28,13,617,196
176,2895,28,15,625,196
181,2896,27,15,625,198
181,2894,27,15,621,188
189,2900,27,13,620,186
174,2888,29,14,627,198
183,2880,28,13,628,195
171,2882,29,12,626,184
184,2886,28,16,630,195
172,2891,29,12,628,198
201,2904,28,14,614,192
178,2902,29,14,628,193
183,2903,28,13,623,187
179,2891,30,13,632,192
183,2895,29,14,628,191
197,2900,27,16,627,193
194,2893,28,12,629,187
193,2887,29,14,630,190
184,2878,28,14,642,193
193,2878,27,21,652,205
183,2891,29,13,613,205
182,2897,28,14,614,196
185,2912,27,14,611,195
185,2902,27,14,615,198
185,2903,28,15,619,187
181,2897,27,13,624,207
170,2894,27,13,632,196
193,2882,29,14,636,198
183,2888,29,12,621,192
194,2883,29,14,636,216
192,2897,28,14,615,208
193,2898,28,14,618,203
187,2899,28,15,640,185
191,2914,28,15,613,190
194,2895,28,13,615,204
186,2898,29,14,619,186
206,2897,27,15,634,197
182,2893,27,12,649,189
186,2895,28,15,638,191
197,2883,30,13,636,197
187,2898,29,15,645,200
178,2896,29,13,612,191
196,2902,27,20,633,192
192,2910,28,16,637,216
197,2899,28,14,618,186
186,2901,29,13,620,203
197,2902,27,13,623,197
205,2901,28,15,637,214
196,2888,30,15,644,194
185,2877,29,13,645,210
189,2902,29,15,622,213
186,2909,28,14,624,222
194,2909,29,13,618,194
202,2901,27,15,640,192
205,2902,27,13,623,193
195,2911,26,14,632,195
198,2888,29,14,631,188
205,2890,30,13,661,168
190,2892,29,12,649,199
198,2886,29,14,670,194
197,2905,27,17,657,194
191,2918,30,14,642,195
193,2904,28,14,645,205
204,2911,28,15,654,197
200,2904,28,14,632,198
198,2901,27,16,651,192
176,2911,28,14,674,191
202,2901,29,13,677,196
191,2906,29,13,657,196
190,2927,29,14,640,204
206,2930,29,14,654,207
204,2915,29,14,646,210
202,2930,29,14,635,197
199,2931,30,13,654,218
205,2910,29,13,671,207
197,2908,30,12,679,186
182,2908,30,15,680,192
196,2914,28,13,710,208
203,2928,27,14,643,194
204,2926,29,16,638,199
208,2926,29,14,644,205
204,2925,28,14,668,207
199,2921,28,16,671,194
199,2934,31,15,649,200
206,2925,30,13,668,202
196,2921,28,18,679,208
199,2940,29,14,643,210
203,2936,29,15,641,217
200,2943,31,14,670,211
203,2938,29,14,644,206
